PetID,UserID,PetName,Level,LevelUpTime,Experience,Hunger,Mood,Stamina,Cleanliness,Health,SkinColor,SkinColorChangedTime,BackgroundColor,BackgroundColorChangedTime,PointsChanged_SkinColor,PointsChanged_BackgroundColor,PointsGained_LevelUp,PointsGainedTime_LevelUp,IsDeleted,DeletedAt,DeletedBy,DeleteReason,CurrentExperience,ExperienceToNextLevel,TotalPointsGained_LevelUp
10,10000010,喵喵Max,50,2025-05-13 09:39:29.0000000,4333,33,77,53,29,35,#6F4E37,2023-12-07 15:30:48.0000000,BG009,2023-03-08 08:36:32.0000000,3500,4500,50,2024-11-25 01:01:29.0000000,0,NULL,NULL,NULL,1647,2380,1500
11,10000011,奶茶,23,2024-09-02 06:51:41.0000000,2991,57,59,18,62,100,#800080,2024-09-21 07:55:51.0000000,BG004,2025-08-30 06:51:42.0000000,3500,2000,30,2024-09-15 18:39:40.0000000,0,NULL,NULL,NULL,221,803,390
12,10000012,小黑Mimi,47,2024-02-28 23:52:06.0000000,6258,62,55,100,65,62,#800080,2025-03-24 02:15:02.0000000,BG007,2023-12-21 20:43:03.0000000,3500,3500,50,2023-04-28 15:31:05.0000000,0,NULL,NULL,NULL,790,2147,1350
13,10000013,皮卡Nana,27,2023-04-18 03:42:14.0000000,2839,90,16,10,18,92,#FFFFFF,2025-05-14 21:47:03.0000000,BG004,2024-06-16 11:16:12.0000000,0,2000,30,2023-05-10 23:29:45.0000000,0,NULL,NULL,NULL,93,963,510
14,10000014,豆豆Mimi,33,2025-03-30 01:03:04.0000000,4535,11,98,25,33,33,#6F4E37,2023-08-23 08:48:40.0000000,BG006,2023-05-12 08:23:27.0000000,3500,3000,40,2023-05-07 04:55:11.0000000,0,NULL,NULL,NULL,1210,1251,720
15,10000015,Leo,18,2024-08-31 07:37:18.0000000,2364,16,81,56,78,75,#FFFF00,2023-12-02 04:27:39.0000000,BG008,2024-01-15 10:24:27.0000000,2000,4000,20,2024-09-27 02:58:32.0000000,0,NULL,NULL,NULL,115,639,260
16,10000016,Mimi,43,2023-08-20 08:22:41.0000000,4963,20,89,84,80,75,#0000FF,2023-02-17 19:00:57.0000000,BG006,2024-10-12 09:49:50.0000000,2000,3000,50,2024-11-24 03:48:52.0000000,0,NULL,NULL,NULL,1255,1859,1150
17,10000017,花生,20,2023-11-23 04:26:16.0000000,1453,17,24,33,11,74,#00FFFF,2024-11-01 16:37:51.0000000,BG010,2024-05-24 20:06:35.0000000,2000,6000,20,2024-04-30 08:33:39.0000000,0,NULL,NULL,NULL,643,700,300
18,10000018,Bella??,34,2024-01-13 13:24:06.0000000,5007,54,19,76,72,70,#FFFF00,2024-07-01 02:52:55.0000000,BG005,2025-01-02 20:29:03.0000000,2000,2500,40,2024-03-06 10:42:02.0000000,0,NULL,NULL,NULL,1303,1304,760
19,10000019,小白,11,2025-03-27 20:15:57.0000000,800,55,58,90,85,100,#0000FF,2023-08-27 20:40:12.0000000,BG008,2024-06-24 14:15:53.0000000,2000,4000,20,2023-03-14 16:13:32.0000000,0,NULL,NULL,NULL,39,476,120
20,10000020,Mimi??,6,2025-01-15 13:54:44.0000000,1060,67,23,43,100,26,#00FFFF,2024-12-10 15:53:52.0000000,BG006,2024-09-28 10:29:36.0000000,2000,3000,10,2025-06-13 20:08:53.0000000,0,NULL,NULL,NULL,171,300,60
21,10000021,小黑,13,2024-09-17 02:15:01.0000000,998,29,32,19,25,56,#008000,2024-06-05 03:57:58.0000000,BG004,2023-02-03 02:08:14.0000000,2000,2000,20,2023-12-06 08:30:06.0000000,0,NULL,NULL,NULL,51,515,160
22,10000022,熊大,8,2023-12-28 19:40:06.0000000,1266,54,22,32,10,65,#0000FF,2023-05-25 21:11:31.0000000,BG004,2024-06-16 22:58:09.0000000,2000,2000,10,2023-10-21 15:09:22.0000000,0,NULL,NULL,NULL,226,380,80
23,10000023,Charlie,12,2024-11-20 09:40:30.0000000,1717,52,23,53,44,73,#800080,2025-03-11 21:45:14.0000000,BG006,2024-11-08 17:29:54.0000000,3500,3000,20,2024-11-26 18:35:48.0000000,0,NULL,NULL,NULL,318,495,140
24,10000024,可可,11,2025-03-16 16:50:33.0000000,871,78,40,49,15,67,#008000,2025-06-21 14:20:23.0000000,BG001,2023-05-20 14:30:59.0000000,2000,0,20,2024-06-04 15:24:23.0000000,0,NULL,NULL,NULL,188,476,120
25,10000025,Mimi,39,2024-06-19 17:44:31.0000000,4073,93,98,92,10,75,#008000,2023-12-08 05:29:28.0000000,BG010,2024-01-28 04:55:00.0000000,2000,6000,40,2024-05-10 00:59:34.0000000,0,NULL,NULL,NULL,1126,1596,960
26,10000026,Charlie??,44,2024-07-07 04:28:39.0000000,5411,91,87,80,48,61,#00FFFF,2024-03-06 02:29:29.0000000,BG004,2024-05-06 02:35:08.0000000,2000,2000,50,2023-03-30 22:23:13.0000000,0,NULL,NULL,NULL,635,1928,1200
27,10000027,Max,39,2024-09-11 17:14:43.0000000,2828,47,48,57,52,99,#6F4E37,2024-12-14 14:41:21.0000000,BG008,2025-04-06 03:16:22.0000000,3500,4000,40,2025-07-04 19:23:02.0000000,0,NULL,NULL,NULL,633,1596,960
28,10000028,Kiki,26,2024-09-23 13:50:19.0000000,3571,45,68,47,35,68,#FFA500,2023-04-12 15:20:46.0000000,BG003,2025-06-12 10:54:46.0000000,2000,0,30,2024-12-12 10:14:35.0000000,0,NULL,NULL,NULL,34,920,480
29,10000029,阿福Milo,35,2024-05-12 15:56:25.0000000,3371,13,69,71,78,96,#FF0000,2025-06-08 01:42:22.0000000,BG003,2025-01-22 22:25:57.0000000,0,0,40,2024-03-23 09:08:51.0000000,0,NULL,NULL,NULL,822,1360,800
30,10000030,Rocky,25,2025-07-07 17:03:46.0000000,3467,52,66,32,28,88,#FF0000,2023-06-29 15:04:48.0000000,BG001,2024-06-07 13:43:36.0000000,0,0,30,2025-04-16 08:12:12.0000000,0,NULL,NULL,NULL,129,880,450
31,10000031,小白,3,2024-07-14 22:44:08.0000000,267,86,25,90,61,84,#FF0000,2025-05-27 02:30:42.0000000,BG004,2025-08-09 15:41:01.0000000,0,2000,10,2023-03-01 13:54:34.0000000,0,NULL,NULL,NULL,144,180,30
32,10000032,熊大??,19,2024-07-03 21:13:45.0000000,2507,15,14,47,27,93,#FF0000,2023-09-18 22:11:52.0000000,BG001,2023-04-28 08:50:23.0000000,0,0,20,2023-03-06 12:23:35.0000000,0,NULL,NULL,NULL,285,668,280
33,10000033,球球Snowy,34,2025-05-16 09:14:54.0000000,2806,34,12,86,12,25,#800080,2025-06-27 20:39:05.0000000,BG006,2023-12-04 18:49:35.0000000,3500,3000,40,2024-08-26 17:54:24.0000000,0,NULL,NULL,NULL,421,1304,760
34,10000034,Leo,47,2023-09-20 01:54:28.0000000,4348,24,24,86,82,32,#FFA500,2024-02-06 02:05:21.0000000,BG010,2024-04-11 12:29:45.0000000,2000,6000,50,2023-06-26 16:43:21.0000000,0,NULL,NULL,NULL,1714,2147,1350
35,10000035,小黑Kiki,38,2024-06-15 05:34:52.0000000,2655,51,65,17,11,55,#00FFFF,2025-06-01 06:42:33.0000000,BG002,2025-07-14 01:47:51.0000000,2000,0,40,2023-09-23 06:39:34.0000000,0,NULL,NULL,NULL,1524,1535,920
36,10000036,皮皮,20,2024-10-07 12:43:33.0000000,2775,83,21,86,62,51,#008000,2023-05-11 11:06:32.0000000,BG010,2025-01-13 22:05:07.0000000,2000,6000,20,2025-07-06 19:51:07.0000000,0,NULL,NULL,NULL,610,700,300
37,10000037,皮皮,11,2023-09-03 12:37:04.0000000,1662,80,44,99,14,77,#0000FF,2025-07-14 15:39:16.0000000,BG003,2025-05-14 07:19:17.0000000,2000,0,20,2023-09-17 10:10:56.0000000,0,NULL,NULL,NULL,431,476,120
38,10000038,Leo??,43,2023-06-28 22:01:51.0000000,6721,87,94,53,93,75,#0000FF,2023-10-10 19:36:16.0000000,BG007,2023-08-21 03:07:48.0000000,2000,3500,50,2024-06-14 04:30:27.0000000,0,NULL,NULL,NULL,1141,1859,1150
39,10000039,雪球??,36,2025-06-23 22:25:00.0000000,6216,33,71,57,36,71,#800080,2023-10-27 15:44:08.0000000,BG002,2024-03-28 06:38:33.0000000,3500,0,40,2024-08-30 23:49:06.0000000,0,NULL,NULL,NULL,1360,1416,840
40,10000040,Bella,50,2023-04-19 21:08:19.0000000,3271,40,32,56,68,30,#FFFF00,2025-01-10 04:28:10.0000000,BG010,2024-11-09 13:55:54.0000000,2000,6000,50,2025-02-26 11:39:36.0000000,0,NULL,NULL,NULL,2375,2380,1500
41,10000041,Kiki??,2,2024-01-19 19:38:50.0000000,311,51,94,27,84,38,#000000,2024-07-19 01:38:04.0000000,BG005,2025-04-15 08:22:55.0000000,0,2500,10,2024-08-06 04:20:31.0000000,0,NULL,NULL,NULL,53,140,20
42,10000042,Snowy??,44,2023-04-10 07:21:41.0000000,6103,98,100,48,17,29,#FFA500,2024-02-06 04:23:46.0000000,BG008,2023-07-29 12:12:10.0000000,2000,4000,50,2023-01-12 03:59:50.0000000,0,NULL,NULL,NULL,1798,1928,1200
43,10000043,豆豆,40,2023-06-09 03:58:31.0000000,5282,35,24,84,75,42,#00FFFF,2023-04-16 15:39:57.0000000,BG007,2024-05-22 16:22:35.0000000,2000,3500,40,2023-12-28 00:54:08.0000000,0,NULL,NULL,NULL,859,1660,1000
44,10000044,小花??,10,2023-12-22 21:06:54.0000000,729,59,12,22,36,23,#0000FF,2023-01-23 06:03:25.0000000,BG001,2023-12-13 07:59:42.0000000,2000,0,10,2025-03-13 23:48:32.0000000,0,NULL,NULL,NULL,123,460,100
45,10000045,小黑,17,2023-01-09 18:23:26.0000000,3063,71,100,57,27,37,#FFA500,2025-06-29 07:44:36.0000000,BG004,2023-10-19 12:30:04.0000000,2000,2000,20,2025-08-09 14:35:26.0000000,0,NULL,NULL,NULL,202,611,240
46,10000046,可可,28,2024-01-11 20:35:52.0000000,3978,37,51,70,20,90,#0000FF,2025-06-15 12:18:31.0000000,BG001,2023-01-14 12:11:30.0000000,2000,0,30,2025-01-09 20:48:16.0000000,0,NULL,NULL,NULL,847,1007,540
47,10000047,Kiki,30,2024-04-20 00:54:06.0000000,2627,82,65,90,23,91,#0000FF,2023-10-04 16:41:08.0000000,BG001,2024-01-02 05:12:01.0000000,2000,0,30,2023-11-10 17:10:44.0000000,0,NULL,NULL,NULL,148,1100,600
48,10000048,Leo,11,2023-11-09 15:02:39.0000000,1362,92,97,52,13,26,#FFFFFF,2024-10-15 06:24:27.0000000,BG010,2024-07-05 23:47:05.0000000,0,6000,20,2023-04-21 11:30:23.0000000,0,NULL,NULL,NULL,31,476,120
49,10000049,豆豆,39,2024-05-03 23:02:50.0000000,4308,56,40,37,33,50,#800080,2025-03-13 12:03:37.0000000,BG004,2023-09-24 11:58:39.0000000,3500,2000,40,2025-06-04 06:47:06.0000000,0,NULL,NULL,NULL,1371,1596,960
50,10000050,Snowy??,38,2023-09-13 18:54:49.0000000,3135,95,96,95,61,23,#FF0000,2024-01-03 15:21:09.0000000,BG004,2023-07-21 17:36:51.0000000,0,2000,40,2024-11-07 17:28:28.0000000,0,NULL,NULL,NULL,343,1535,920
51,10000051,豆豆,32,2025-01-18 21:52:03.0000000,3314,89,29,19,18,31,#FFFFFF,2024-01-23 04:59:32.0000000,BG009,2025-01-29 20:52:07.0000000,0,4500,40,2025-07-14 17:18:52.0000000,0,NULL,NULL,NULL,679,1199,680
52,10000052,喵喵??,9,2023-06-20 17:43:33.0000000,1385,51,67,76,61,46,#FFFFFF,2024-11-21 22:32:28.0000000,BG007,2025-07-21 06:36:46.0000000,0,3500,10,2024-08-24 12:34:59.0000000,0,NULL,NULL,NULL,67,420,90
53,10000053,小花Kiki,2,2023-04-06 07:28:12.0000000,213,53,77,97,83,85,#6F4E37,2024-02-04 03:33:30.0000000,BG008,2024-03-31 17:19:20.0000000,3500,4000,10,2025-04-12 07:38:58.0000000,0,NULL,NULL,NULL,52,140,20
54,10000054,Coco,41,2025-04-15 19:56:03.0000000,4816,100,78,52,82,53,#0000FF,2024-12-05 11:50:33.0000000,BG009,2025-06-05 03:13:34.0000000,2000,4500,50,2024-09-02 22:22:41.0000000,0,NULL,NULL,NULL,1117,1724,1050
55,10000055,皮皮??,14,2025-01-19 06:31:17.0000000,1940,13,67,87,77,45,#FFFF00,2024-03-27 12:11:05.0000000,BG010,2025-07-01 22:03:23.0000000,2000,6000,20,2025-07-29 01:56:21.0000000,0,NULL,NULL,NULL,299,536,180
56,10000056,小花,14,2023-01-13 09:32:58.0000000,1838,94,14,92,24,80,#FFFF00,2023-11-01 16:17:49.0000000,BG001,2024-10-30 05:33:15.0000000,2000,0,20,2024-08-09 08:22:04.0000000,0,NULL,NULL,NULL,10,536,180
57,10000057,小白,32,2025-04-16 20:32:00.0000000,3266,37,12,84,70,36,#FFFF00,2025-07-02 19:18:32.0000000,BG004,2023-12-27 23:44:37.0000000,2000,2000,40,2025-06-04 07:47:08.0000000,0,NULL,NULL,NULL,333,1199,680
58,10000058,Cookie,27,2024-10-05 00:41:25.0000000,4412,79,49,30,66,35,#FF0000,2025-06-05 16:28:31.0000000,BG007,2024-04-08 09:32:41.0000000,0,3500,30,2024-09-12 10:47:50.0000000,0,NULL,NULL,NULL,292,963,510
59,10000059,Max??,26,2024-11-20 04:12:40.0000000,3836,76,85,32,100,99,#800080,2024-03-04 00:34:21.0000000,BG007,2023-06-22 03:18:06.0000000,3500,3500,30,2023-11-22 03:00:42.0000000,0,NULL,NULL,NULL,501,920,480
60,10000060,皮卡Kiki,27,2023-04-24 10:13:42.0000000,2085,65,56,99,82,100,#FFFF00,2023-02-21 04:25:26.0000000,BG006,2023-01-05 13:48:25.0000000,2000,3000,30,2024-07-21 07:50:02.0000000,0,NULL,NULL,NULL,209,963,510
61,10000061,Cookie,40,2024-11-04 04:11:59.0000000,5209,74,37,59,49,66,#FFA500,2025-04-26 01:42:06.0000000,BG006,2023-12-29 08:27:05.0000000,2000,3000,40,2025-04-10 14:36:44.0000000,0,NULL,NULL,NULL,802,1660,1000
62,10000062,皮皮,21,2023-11-23 19:50:41.0000000,1729,60,39,65,34,36,#000000,2024-10-29 03:37:14.0000000,BG008,2025-02-16 10:15:50.0000000,0,4000,30,2025-06-08 17:11:26.0000000,0,NULL,NULL,NULL,90,732,330
63,10000063,小黑Lucky,46,2025-02-12 13:17:23.0000000,3086,84,94,88,51,46,#000000,2023-01-31 22:55:47.0000000,BG008,2024-09-17 18:54:29.0000000,0,4000,50,2024-09-07 01:18:22.0000000,0,NULL,NULL,NULL,628,2072,1300
64,10000064,多多,16,2024-04-21 22:13:00.0000000,2019,19,41,45,71,49,#008000,2024-08-10 00:02:15.0000000,BG008,2025-05-20 22:29:06.0000000,2000,4000,20,2023-01-03 18:57:19.0000000,0,NULL,NULL,NULL,194,584,220
65,10000065,奶茶,38,2023-03-11 22:58:16.0000000,5031,22,11,43,53,50,#000000,2025-03-14 02:31:25.0000000,BG006,2023-01-14 16:31:04.0000000,0,3000,40,2024-11-01 19:58:16.0000000,0,NULL,NULL,NULL,1351,1535,920
66,10000066,可可??,50,2023-11-16 18:33:13.0000000,8846,18,81,13,43,20,#00FFFF,2024-02-17 08:33:44.0000000,BG006,2025-03-25 08:10:52.0000000,2000,3000,50,2023-11-07 14:01:51.0000000,0,NULL,NULL,NULL,1554,2380,1500
67,10000067,皮皮,15,2023-04-24 05:39:43.0000000,2776,20,27,24,52,88,#008000,2023-08-24 07:07:13.0000000,BG010,2023-08-30 23:00:55.0000000,2000,6000,20,2025-01-08 17:38:33.0000000,0,NULL,NULL,NULL,330,560,200
68,10000068,Charlie,24,2023-01-22 02:38:18.0000000,2796,58,26,68,65,32,#FFFF00,2023-10-19 08:17:38.0000000,BG007,2025-03-23 12:37:30.0000000,2000,3500,30,2023-10-11 11:48:12.0000000,0,NULL,NULL,NULL,54,840,420
69,10000069,Nana,6,2025-05-21 21:35:00.0000000,519,78,57,90,12,60,#FFFF00,2023-10-20 06:29:22.0000000,BG004,2023-02-25 02:28:53.0000000,2000,2000,10,2023-10-21 01:36:59.0000000,0,NULL,NULL,NULL,295,300,60
70,10000070,小花Luna,27,2024-05-17 21:41:58.0000000,3907,85,75,60,74,54,#0000FF,2024-11-03 03:22:51.0000000,BG008,2024-04-28 06:12:02.0000000,2000,4000,30,2023-10-01 16:19:25.0000000,0,NULL,NULL,NULL,217,963,510
71,10000071,皮卡,25,2023-12-24 20:46:26.0000000,2461,18,19,67,72,50,#008000,2025-07-27 19:47:06.0000000,BG009,2023-01-28 04:59:55.0000000,2000,4500,30,2024-05-02 04:37:10.0000000,0,NULL,NULL,NULL,226,880,450
72,10000072,奶茶,32,2024-10-24 14:48:28.0000000,3357,86,11,77,32,90,#000000,2025-06-15 04:56:00.0000000,BG005,2024-01-24 01:55:37.0000000,0,2500,40,2023-02-18 17:12:52.0000000,0,NULL,NULL,NULL,715,1199,680
73,10000073,小白Leo,50,2023-03-25 13:27:31.0000000,7461,58,31,91,36,93,#FFFFFF,2023-12-14 02:53:53.0000000,BG002,2023-01-26 23:00:58.0000000,0,0,50,2025-07-21 05:40:34.0000000,0,NULL,NULL,NULL,23,2380,1500
74,10000074,小白Mimi,36,2024-06-27 22:20:25.0000000,4778,60,11,29,23,95,#FF0000,2025-06-16 20:54:16.0000000,BG001,2024-06-15 04:34:29.0000000,0,0,40,2023-11-25 17:19:08.0000000,0,NULL,NULL,NULL,812,1416,840
75,10000075,Snowy,21,2023-08-23 07:20:21.0000000,3131,50,56,48,98,78,#FFFFFF,2024-05-09 21:58:38.0000000,BG006,2025-04-02 23:36:27.0000000,0,3000,30,2023-03-04 08:50:45.0000000,0,NULL,NULL,NULL,634,732,330
76,10000076,豆豆Lucky,40,2023-04-29 14:27:48.0000000,3013,34,29,42,53,47,#FFFFFF,2025-06-07 03:56:35.0000000,BG003,2024-06-22 17:55:21.0000000,0,0,40,2023-01-08 23:41:50.0000000,0,NULL,NULL,NULL,845,1660,1000
77,10000077,豆豆,22,2025-02-13 23:39:20.0000000,2624,13,38,38,63,94,#000000,2025-07-24 15:27:08.0000000,BG009,2024-07-05 19:44:46.0000000,0,4500,30,2023-09-12 10:55:26.0000000,0,NULL,NULL,NULL,478,767,360
78,10000078,可可,9,2025-01-16 05:46:14.0000000,1585,36,80,65,80,68,#00FFFF,2025-03-19 16:52:24.0000000,BG006,2023-03-04 23:28:44.0000000,2000,3000,10,2023-05-22 08:52:45.0000000,0,NULL,NULL,NULL,152,420,90
79,10000079,喵喵,18,2024-05-09 08:53:28.0000000,1696,36,50,27,61,93,#800080,2025-02-01 15:43:51.0000000,BG001,2024-06-17 23:05:16.0000000,3500,0,20,2024-07-10 19:39:03.0000000,0,NULL,NULL,NULL,170,639,260
80,10000080,奶茶Mimi,46,2024-01-16 14:21:11.0000000,5674,77,13,99,30,99,#FFFFFF,2023-01-18 16:14:13.0000000,BG007,2024-04-14 13:42:44.0000000,0,3500,50,2024-06-24 15:12:21.0000000,0,NULL,NULL,NULL,1586,2072,1300
81,10000081,Mimi,28,2024-11-20 01:49:14.0000000,1877,68,32,75,97,70,#0000FF,2025-02-17 09:45:28.0000000,BG004,2025-03-18 11:48:01.0000000,2000,2000,30,2025-05-29 15:53:31.0000000,0,NULL,NULL,NULL,982,1007,540
82,10000082,皮蛋,47,2025-04-23 02:48:46.0000000,6934,16,31,47,85,39,#FFA500,2024-05-27 06:34:39.0000000,BG006,2023-12-12 00:29:10.0000000,2000,3000,50,2023-03-21 15:31:17.0000000,0,NULL,NULL,NULL,683,2147,1350
83,10000083,多多,26,2024-04-29 12:25:33.0000000,2623,89,75,66,50,62,#FFA500,2023-01-30 17:06:56.0000000,BG002,2023-01-06 05:21:21.0000000,2000,0,30,2025-01-08 15:29:50.0000000,0,NULL,NULL,NULL,280,920,480
84,10000084,喵喵,2,2025-02-09 13:11:40.0000000,409,28,18,57,39,32,#000000,2023-05-09 06:33:20.0000000,BG001,2024-12-20 19:53:02.0000000,0,0,10,2025-06-19 17:27:05.0000000,0,NULL,NULL,NULL,87,140,20
85,10000085,球球,32,2023-09-11 07:05:32.0000000,2773,32,32,46,50,42,#FFFFFF,2023-02-07 22:10:03.0000000,BG002,2024-07-23 17:04:48.0000000,0,0,40,2024-08-25 06:10:01.0000000,0,NULL,NULL,NULL,412,1199,680
86,10000086,皮卡??,44,2025-03-07 09:17:11.0000000,3207,23,41,75,44,49,#FFA500,2023-07-25 19:24:08.0000000,BG006,2024-12-07 18:21:23.0000000,2000,3000,50,2025-03-03 17:00:29.0000000,0,NULL,NULL,NULL,679,1928,1200
87,10000087,小黃,24,2024-09-21 09:40:18.0000000,1917,92,56,78,42,99,#00FFFF,2023-09-08 05:20:30.0000000,BG003,2025-07-29 22:10:14.0000000,2000,0,30,2024-04-04 07:35:57.0000000,0,NULL,NULL,NULL,321,840,420
88,10000088,旺財,42,2023-10-24 08:08:40.0000000,3908,23,11,96,41,66,#008000,2023-12-24 00:08:58.0000000,BG004,2025-01-18 09:09:06.0000000,2000,2000,50,2025-05-18 14:00:36.0000000,0,NULL,NULL,NULL,1463,1791,1100
89,10000089,小黑??,27,2024-11-12 15:42:50.0000000,2415,81,97,11,45,54,#6F4E37,2024-06-19 14:13:33.0000000,BG007,2024-12-30 11:39:54.0000000,3500,3500,30,2023-04-30 00:01:26.0000000,0,NULL,NULL,NULL,903,963,510
90,10000090,小黃,10,2025-04-19 05:42:05.0000000,1020,86,38,82,60,90,#6F4E37,2024-06-23 09:52:51.0000000,BG003,2023-01-24 03:20:03.0000000,3500,0,10,2025-01-21 17:57:17.0000000,0,NULL,NULL,NULL,434,460,100
91,10000091,皮蛋Mimi,14,2023-11-24 22:59:43.0000000,1344,60,13,19,52,98,#6F4E37,2024-02-05 19:43:15.0000000,BG004,2023-04-09 16:06:24.0000000,3500,2000,20,2024-12-24 17:26:25.0000000,0,NULL,NULL,NULL,431,536,180
92,10000092,小白,37,2025-01-05 14:13:11.0000000,5994,47,84,45,31,96,#000000,2023-08-22 03:23:12.0000000,BG005,2023-03-30 21:13:53.0000000,0,2500,40,2024-05-06 23:22:47.0000000,0,NULL,NULL,NULL,644,1475,880
93,10000093,小白,8,2023-05-16 08:48:19.0000000,877,44,49,96,54,66,#FF0000,2025-04-20 11:59:13.0000000,BG009,2023-09-20 00:21:00.0000000,0,4500,10,2023-01-13 15:07:58.0000000,0,NULL,NULL,NULL,10,380,80
94,10000094,Luna,14,2024-05-30 02:11:13.0000000,1199,45,78,80,18,22,#800080,2023-04-15 16:43:50.0000000,BG007,2024-08-28 10:51:05.0000000,3500,3500,20,2024-03-17 07:32:39.0000000,0,NULL,NULL,NULL,300,536,180
95,10000095,柚子,21,2025-03-25 18:17:45.0000000,1424,12,39,30,61,60,#6F4E37,2023-08-16 01:24:34.0000000,BG002,2023-01-25 20:24:35.0000000,3500,0,30,2025-04-04 23:34:10.0000000,0,NULL,NULL,NULL,371,732,330
96,10000096,皮皮,3,2023-08-04 02:53:42.0000000,360,30,50,21,98,40,#FFFF00,2024-03-22 17:26:14.0000000,BG006,2023-04-11 15:34:00.0000000,2000,3000,10,2024-05-08 00:16:13.0000000,0,NULL,NULL,NULL,43,180,30
97,10000097,皮卡,39,2023-04-06 23:22:04.0000000,2857,80,11,41,96,44,#00FFFF,2023-11-26 17:28:56.0000000,BG003,2024-05-28 06:18:10.0000000,2000,0,40,2025-01-25 22:58:24.0000000,0,NULL,NULL,NULL,1245,1596,960
98,10000098,Leo,30,2024-03-27 23:57:34.0000000,5424,38,33,94,20,23,#00FFFF,2025-01-26 16:03:28.0000000,BG005,2025-04-09 09:46:39.0000000,2000,2500,30,2025-02-08 22:16:01.0000000,0,NULL,NULL,NULL,558,1100,600
99,10000099,小黃,35,2024-01-08 03:09:23.0000000,4882,69,63,31,85,63,#0000FF,2023-07-22 06:30:15.0000000,BG007,2025-05-12 05:23:38.0000000,2000,3500,40,2024-06-15 06:05:28.0000000,0,NULL,NULL,NULL,441,1360,800
100,10000100,Coco,41,2023-05-26 08:17:34.0000000,7278,23,27,51,94,87,#FF0000,2025-06-14 20:35:36.0000000,BG005,2023-09-08 02:17:38.0000000,0,2500,50,2023-08-16 16:54:12.0000000,0,NULL,NULL,NULL,585,1724,1050
101,10000101,皮卡Rocky,36,2025-03-30 19:45:33.0000000,6086,17,41,83,51,90,#008000,2023-10-18 07:19:37.0000000,BG009,2024-08-17 00:58:46.0000000,2000,4500,40,2024-03-04 13:42:36.0000000,0,NULL,NULL,NULL,14,1416,840
